label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,-1310,-4755,-5516
1,20.0,-1011,-4978,-5628
1,40.0,-942,-5123,-5383
1,60.0,-792,-5279,-5082
1,80.0,-571,-5498,-4857
1,100.0,-297,-5584,-4552
1,120.0,-233,-5814,-4092
1,140.0,-289,-6010,-3742
1,160.0,-256,-6126,-3553
1,180.0,-295,-6370,-3536
1,200.0,-177,-6632,-3718
1,220.0,-75,-6883,-3941
1,240.0,21,-6889,-4423
1,260.0,-110,-6834,-4818
1,280.0,-190,-7022,-5107
1,300.0,-321,-7162,-5423
1,320.0,-84,-6987,-5773
1,340.0,569,-6607,-6476
1,360.0,1072,-6311,-6676
1,380.0,809,-6203,-6040
1,400.0,680,-6210,-5542
1,420.0,688,-6314,-5303
1,440.0,949,-6303,-5442
1,460.0,1491,-6233,-5928
1,480.0,2142,-6133,-6571
1,500.0,2683,-6003,-7192
1,520.0,3248,-5661,-7413
1,540.0,3367,-5354,-7023
1,560.0,3224,-5138,-6134
1,580.0,2945,-4940,-5253
1,600.0,2570,-4883,-4500
1,620.0,2194,-4920,-3687
1,640.0,1907,-5086,-3094
1,660.0,1805,-5385,-3179
1,680.0,1736,-5524,-3874
1,700.0,1836,-5553,-4459
1,720.0,1960,-5614,-5105
1,740.0,2150,-5671,-5688
1,760.0,2223,-5693,-6392
1,780.0,2292,-5764,-6923
1,800.0,2172,-5805,-6927
1,820.0,2178,-5751,-6457
1,840.0,2124,-5881,-6059
1,860.0,2080,-5834,-5800
1,880.0,2112,-5670,-5891
1,900.0,2006,-5529,-5896
1,920.0,2075,-5599,-5861
1,940.0,2054,-5600,-5682
1,960.0,1929,-5430,-5577
1,980.0,1856,-5354,-5523
1,1000.0,1950,-5308,-5783
1,1020.0,1919,-5158,-5772
1,1040.0,1758,-5170,-5313
1,1060.0,1737,-5593,-5609
1,1080.0,1652,-6087,-6138
1,1100.0,1932,-6652,-6839
1,1120.0,2400,-6875,-7770
1,1140.0,2715,-6730,-8960
1,1160.0,3197,-6809,-9985
1,1180.0,3495,-7425,-10843
1,1200.0,3496,-7946,-11268
1,1220.0,2710,-8222,-11095
1,1240.0,1545,-7415,-9956
1,1260.0,401,-6867,-8551
1,1280.0,-1004,-6467,-6898
1,1300.0,-1900,-5706,-5538
1,1320.0,-2045,-5002,-4531
1,1340.0,-1927,-4437,-3073
1,1360.0,-1648,-3857,-1739
1,1380.0,-1111,-2736,-852
1,1400.0,204,-1469,-795
1,1420.0,1174,-275,-744
1,1440.0,1856,194,-306
1,1460.0,1607,632,33
1,1480.0,1190,1242,221
1,1500.0,800,1690,335
1,1520.0,646,1310,622
1,1540.0,757,1040,1379
1,1560.0,746,517,1486
1,1580.0,3787,210,1841
1,1600.0,1595,-268,-617
1,1620.0,660,815,-715
1,1640.0,761,1380,-1107
1,1660.0,690,351,-2909
1,1680.0,450,520,-4417
1,1700.0,-4,712,-5665
1,1720.0,-121,259,-6165
1,1740.0,1994,-2118,-9699
1,1760.0,7150,-5070,-17602
1,1780.0,7087,-3238,-18727
1,1800.0,4272,-299,-20652
1,1820.0,4748,3437,-27707
1,1840.0,8361,3103,-32767
1,1860.0,9492,3878,-29523
1,1880.0,12764,4563,-27085
1,1900.0,14164,7354,-27814
1,1920.0,19012,7254,-23263
1,1940.0,21208,4406,-24530
1,1960.0,22266,125,-19135
1,1980.0,20519,-2886,-17735
1,2000.0,17084,-2402,-17839
1,2020.0,15273,-2100,-19565
1,2040.0,12963,-1536,-20402
1,2060.0,10805,-1407,-17195
1,2080.0,4958,1366,-14020
1,2100.0,-2755,3831,-12136
1,2120.0,-9378,4796,-7937
1,2140.0,-11777,5620,-2597
1,2160.0,-11083,5969,-2247
1,2180.0,-11184,6429,-1547
1,2200.0,-10907,6763,-30
1,2220.0,-8825,6405,2572
1,2240.0,-6170,5520,3264
1,2260.0,-3687,3540,2923
1,2280.0,-24,1704,2368
1,2300.0,2187,647,1362
1,2320.0,1901,1235,397
1,2340.0,494,2026,-679
1,2360.0,870,1300,-1692
1,2380.0,2128,-422,-2401
1,2400.0,2130,-1765,-994
1,2420.0,1623,-1708,-791
1,2440.0,-1465,254,-5815
1,2460.0,-1247,-1436,-9470
1,2480.0,-648,-3230,-7646
1,2500.0,1559,-4954,-6204
1,2520.0,1698,-3120,-8313
1,2540.0,2519,-2147,-6359
1,2560.0,5498,2327,-1750
1,2580.0,8085,2241,4573
1,2600.0,18047,-10445,32767
1,2620.0,8651,-9623,30198
1,2640.0,13280,-2155,14186
1,2660.0,19282,8459,21
1,2680.0,19147,7478,-4841
1,2700.0,18319,5999,-6929
1,2720.0,19156,4926,-1449
1,2740.0,20684,3362,2881
1,2760.0,22767,-5468,6481
1,2780.0,15318,-9431,15325
1,2800.0,7449,-5647,11224
1,2820.0,4085,-8873,2163
1,2840.0,13525,-11232,-14811
1,2860.0,19497,-19147,-25960
1,2880.0,11945,-19950,-11442
1,2900.0,7421,-19579,-630
1,2920.0,8086,-12122,-890
1,2940.0,10033,-7068,-2520
1,2960.0,3016,-984,5908
1,2980.0,-2356,2004,8766
